[1453478547][folder]	Directory "trees" created successfully !
[1453478548][folder]	Directory "pickers" created successfully !
[1453478548][folder]	Directory "notifications" created successfully !
[1453478549][folder]	Directory "loaders" created successfully !
[1453478549][folder]	Directory "velocity" created successfully !
[1453478549][folder]	Directory "visualization" created successfully !
[1453478549][folder]	Directory "extensions" created successfully !
[1453478550][folder]	Directory "media" created successfully !
[1453478551][folder]	Directory "ui" created successfully !
[1453478551][folder]	Directory "uploaders" created successfully !
[1453478551][folder]	Directory "internationalization" created successfully !
[1453478551][folder]	Directory "buttons" created successfully !
[1453478552][folder]	Directory "sliders" created successfully !
[1453478552][folder]	Directory "pagination" created successfully !
[1453478558][folder]	Directory "forms" created successfully !
[1453478561][folder]	Directory "maps" created successfully !
[1453478565][folder]	Directory "editors" created successfully !
[1453478565][folder]	Error while creating directory : File exists
[1453478566][folder]	Directory "tables" created successfully !
